;userName;score;at;content
397;Ganda G;5;14/10/2022 02:06;Dokternya sangat membantu dan detail dalam melihat kondisi pasien.
398;Uranus Kwok;3;14/10/2022 02:04;average
399;Face 2 Face;1;13/10/2022 19:26;Dana refund amoe berbulan-bulan ini gak masuk2. Gimana dah -__- Trus tadi mau beli obat udah gabisa, padahal dulu2 jam 2pagi aja bisa order, sekarang gabisa. Yaudah lah semoga berkah duit saya yang gak balik2.
400;Johan Arifin;5;13/10/2022 14:06;Bantuan praktis, mudah, cepat, murah, dan efektif... Terima kasih halodoc
401;Dalmore62 istri Winwin;5;13/10/2022 11:18;Bagus banget.. memudahkan bangett.. pelayanannya juga sangat baik
402;Gerobak Kopi Ancah;5;13/10/2022 09:41;Good, namun untuk cetak strook obat sekarang tidak muncul, biasanya engga masalah
403;Titik Karomah;5;13/10/2022 09:07;Pelayanan nya cepat
404;Ayam Nepal;1;13/10/2022 08:25;Jangan pakai pengiriman regular guys, 3 hari belum sampai. Gimana kalo org butuh cepat. Mending jangan di adakan kalo estimate nya bisa 4 harian. Kalau bisa aplikasi nyanlebih canggih lagi jadi bisa mengubah metode pengiriman sebelum apotek kirim barang. Aplikasi kebutuhan kesehatan kok begini.
405;Dela Tesalonika;5;13/10/2022 06:33;handy
406;Rudi Heryanto;5;12/10/2022 23:40;Helpful
407;Maria Bosco;5;12/10/2022 14:36;To do point Kerenq
408;Rinaldi Irsan;5;12/10/2022 11:34;mudah digunakan dan cepat responnya
409;Arviana Yoa;5;12/10/2022 10:18;Mudah digunakan. Hanya saja belum ada pembayaran transfer virtual bank
410;Suharti Lembono;5;12/10/2022 08:08;Dokter Julius Martin spesialis kejiwaan sangat bagus melayani dg sabar dan teliti Dan sudah sangat berpengalaman Saya akan kontrol lagi tanggal delapan belas oktober dengan dokter Julius Martin Jam 16.00
411;Yessi Alamsyah;5;12/10/2022 07:37;Sangat membantu apalagi ketika sedang di tempat yang lokasinya agak jauh dengan faskes
412;Laura Alanda;5;12/10/2022 01:31;Hidup lebih mudah dan sehat dengan Halodoc
413;D. Wikandy;5;11/10/2022 15:26;Apps ini sangat bermanfaat!!
414;hendra wibawa;5;11/10/2022 12:42;Sangat membantu
415;Boy Cool;5;11/10/2022 12:21;You must not copy distribute disclose or distribute the message to the email address is tasya and make the use of this message was automatically and thanks for all your help with the email address and
416;Berly Halim;1;11/10/2022 10:51;3 kali konsul ke dokter, dikasih resep, pada saat diproses, transaksi dibatalkan oleh aplikasi. Tolong kalau kejadian dibatalkan oleh aplikasi, munculkan kembali resep digitalnya. Masak harus konsul kembali. Kemudian, pembatalan pertama, uang saya belum dikembalikan.
417;Bella Rahadiani;5;11/10/2022 05:42;Easy to use
418;Friza Ahmad;1;11/10/2022 04:31;Penanganan obat salah kirim sangat lama, helpdesk kurang gercep, lama gajelas
419;Firman Mh.;5;11/10/2022 03:39;Sangat membantu, tks
420;Bayu Indrawan;5;11/10/2022 02:18;Good
421;Andriani Novita S;5;10/10/2022 22:47;so help ful
422;Alvin Rochafi;5;10/10/2022 13:40;Good experience so far.
423;Nilna Rahmawati;5;10/10/2022 09:44;Terimakasiiii sudah membantu dengan sangat baik
424;M. Reza Pahlevi;5;10/10/2022 08:26;Doktor nya cekatan dan tanggap, pemakaian aplikasinya juga gak ribet
425;wresni hapsari;5;10/10/2022 06:21;Sangat membantu untuk aku yg tinggal jauh dari klinik atau RS. Thanks halodoc
426;Sangaji Pramono;5;10/10/2022 03:49;Sangat membantu ketika kita sakit dan dalam kondisi tidak bisa keluar rumah.
427;Dian Andriani;5;10/10/2022 01:20;Respon cepat dan penjelasan baik
428;Celle Alex;5;09/10/2022 15:23;Dokternya ramah
429;Adhira Andayani;5;09/10/2022 13:45;Terima kasih. Sangat cepat!!😊
430;Diah Julianti;5;09/10/2022 13:05;Lebih murah tnyata dr marketplaces yg biasa dan cepat pelayanannya, jam berapa pun pesannya
431;Widya Safitri;4;09/10/2022 09:43;Membantu orang sakit
432;Vaxa TV Channel;1;09/10/2022 09:13;Sangat kecewa sekali, tanggal 29 sept saya beli obat disini dan di kirim menggunakan pengiriman instant karena sangat membutuhkan obat tersebut saat itu juga, malamnya saya mau berangkat keluar kota, 1 jam kemudian di aplikasi obat tersebut di informasikan sudah di antar, namun tdk di temukan di depan rmh, driver tdk bs di hubungi, dan respon dr halodoc sangat lama, akhirnya saya beli obat lg di apotik dan meminta utk cancel, namun tidak bs, obat terkirim sehari berikutnya dimana rmh saya kosong
433;Teguh Widodo;5;09/10/2022 07:01;Keren
434;A Janiar;5;09/10/2022 01:35;mantab, trims !!!
435;Budi Perdana;5;09/10/2022 00:54;Very useful application, it also give fast respon for your complain
436;Widianto Zhu;5;08/10/2022 16:42;Nyaman sekali menggunakan aplikasi kesehatan ini. Semuanya berjalan sesuai harapan, dan dokternya ramah-ramah.
437;INDRIAN;5;08/10/2022 14:08;Nice app and good service
438;Gunga AF;5;08/10/2022 13:55;🤟
439;Florence Widjaja;1;08/10/2022 13:11;Halodoc bisa nggak tau kalau apotik rekananya tutup. Sudah pesan 3x. Ganti alamat bisa tetap ke apotik yang tutup. Orang butuh obat cepat. Dari awal laporan baik2, sampai isinya komplain baru apotik yg tutup di nonaktifkan. Hampir 2 jam untuk cari obat
440;Gregorius Ferdinand;2;08/10/2022 13:02;Helpful but need a lot improvement. Instead of sending chat using sms, make a chat module.
441;Erik Sutan Batubara;1;08/10/2022 12:54;Kalau dibatalkan bisa sepihak dari pihak gojek nya, kalau lagi butuh gimana? Saya baru saja mengalaminya malam ini, untuk pengobatan isteri saya. GILA banget aplikasi tidak membantu !!
442;putra polewali;5;08/10/2022 12:30;Aplikasi yang sangat membantu
443;Nikko Satriani;5;08/10/2022 12:03;Very helpfull for me and my family
444;Adiyanto Dionisius;5;08/10/2022 09:18;Jelas dan detil
445;idham natadirja;5;08/10/2022 04:54;Easy to use
446;Fando Suwandana;5;08/10/2022 04:09;Nice
447;Liza Saraswati;5;08/10/2022 03:47;Ok
448;Sapto Alirasyidi;5;08/10/2022 01:23;Mantap
449;Yulia Fitri;5;07/10/2022 05:31;Sdh lancar signal nya
450;Nur Ardia Rahmaningrum;5;07/10/2022 03:29;Make my life easier kalo lagi sakit trs susah ke apotek/dokter terdekat
451;itsme nani;5;07/10/2022 02:23;Helpfull
452;mega carolyn;5;07/10/2022 02:02;terbaikk
453;Rindho TP;5;06/10/2022 14:50;Keren, memudahka
454;Zaini Rahman;5;06/10/2022 13:32;Bagus
455;harris kurniadi;5;06/10/2022 10:31;Sangat membantu
456;Yeyen Chou;5;06/10/2022 08:10;Membantu berobat, konsultasi & pembelian obat secara online dan terpercaya...
457;Sofyan Garmadi;5;06/10/2022 03:37;Good
458;Angelia Claresta Dorothy Theofilus;2;06/10/2022 03:17;Tidak bisa booking Tes Covid. Selalu error. Tolong perbaiki segera.
459;Indra Putra;5;06/10/2022 02:13;This app really helpful and easy to use. Its necessary to help patient during pandemy. Thank you souch.
460;Chyntia Chusnul Chotimah;5;05/10/2022 15:06;Mantap bgt ketolong sm aplikasi ini drpd harus ongkos lg ngantri utk konsul sm dokter ke RS skrg udh d permudah bgt sm halodoc
461;Duh;5;05/10/2022 14:31;Cepat mantap
462;Tri Warsono;5;05/10/2022 01:45;Pelayanan cepat
463;Vina Amaliatul F;3;05/10/2022 01:28;aplikasinya ko gni yaa saya psen obat udah 1 hri masi aja mencari driver blom dikirim² trus gabisa dicancel juga, klo gini kan bisa bahaya ke pasien yg butuh obat
464;music;1;04/10/2022 13:10;Rempong bgt ini app, lama dan cs lama dan ujung2 kena refund pdhl udh nunggu 1 jam tanpa peringatan yg jls. Mending pake yg lain.
465;hanna della;4;04/10/2022 11:24;Memudahkan pembelian obat di kala darurat
466;Baba Bebeb;5;04/10/2022 10:43;kenapa setiap buka halodoc dikatakan koneksi internet tidak ditemukan. ini maksudnya apa ya? koneksi internet saya lancar untuk buka aplikasi lain.
467;Maulana Zuhri;4;04/10/2022 08:51;Good
468;Laurensia Dwi Ariani;5;04/10/2022 08:17;Dokternya menjelaskan dengan baik dan memberikan solusi dengan baik. Terima kasih
469;Farah Shabila;5;04/10/2022 07:45;Sejauh ini oke, bisa disynchronize dengan asuransi kantor. Konsultasi gratis deh
470;Olivia Sondakh;5;04/10/2022 04:59;sangat membantu
471;Hadi Gunawan;5;04/10/2022 04:24;Sangat rsponsif
472;Noni Novyanti;5;04/10/2022 03:40;It's good
473;Syiddik Mulya;5;04/10/2022 03:08;Sangat Membantu dan Menolong,
474;Haris;5;03/10/2022 23:04;kece
475;Phatalina Naomi;5;03/10/2022 18:15;Helpful
476;Muhammad Rifqi;5;03/10/2022 14:14;An excellent app. I usually use it to buy medicine, and nothing more. I haven't tried using other features. So far so good. Very practical and user friendly. It deserves 5 stars for now.
477;Lilla Puspitasari;5;03/10/2022 13:49;First time using this app.. so helpful.. doktermya ramah..konsul juga nyaman.. Terimakasih halodoc
478;Sonyanita Karina;5;03/10/2022 13:19;👍
479;Dhanty P;1;03/10/2022 13:06;Kalo pesen obat gak sampe atau tiba² di refund sepihak, udah biasalah ya sama aplikasi ini. Tapi barusan ngalamin lagi konsultasi sama dokter, baru juga ngasih intro, tiba² dokternya offline. Dicuekin aja gitu pasien sampe kena time limit. JADI BAYAR BUAT APA YA? GAK PROFESIONAL BANGET. Komplen lewat CS juga PERCUMA. SAMA LAMBATNYA RESPONNYA. Nyusahin orang sakit aja heran!
480;diah Gandhi;5;03/10/2022 10:04;Solusi cepat utk kebutuhan pertolongan medis sgra
481;Rheta Aulia;5;03/10/2022 09:58;Usefull banget, bener bener membantu. Thanks
482;Rike Hardianti;5;03/10/2022 08:36;Mudah digunakan, terpercaya
483;Hendrik Ali;5;03/10/2022 08:10;Good
484;igen harya;4;03/10/2022 07:27;memudahkan untuk memesan obat, namun aplikasinya tidak mendukung jika urgen
485;Wiwit Savitri;5;03/10/2022 05:08;Ramah baik cepet ga lelet
486;D.C. Purbaningtyas;4;02/10/2022 12:43;Ini gampang bgt pakenya. Obatnya lengkap jg. Tp hrga obatnya agak pricey aj
487;Medina Sasmita;5;02/10/2022 10:54;Bagus
488;Hadi Susilo Arifin;5;02/10/2022 10:39;Very friendly doctor
489;first name;1;02/10/2022 07:43;Please fix the bug. Worst app ever. Tried to delete one of the order and tells me that need to start all over again.
490;Honis Leonardi;5;02/10/2022 04:51;Very satisfied, keep up the advancement system🙏
491;Chairina Fadhila;5;01/10/2022 22:43;Sangat mempermudah pasien untuk bisa langsung bertanya kpd dokter terkait penyakitnya
492;Kuntara Ajie Pratama Kanta;1;01/10/2022 17:10;2X HALODOC BIKIN KECEWA, KENAPA SIH? SAYA BELI OBAT TAPI DIKIRIM KE ALAMAT LAIN, UANG & OBAT SAYA GA TERIMA. Customer care lambat, masalah tidindaklanjuti hanya via email saja. Sebelumnya: Layanan Video Call & Voice tidak muncul suara padahal sinyal bagus, uang konsultasi utk layanan teleconference jadi terbuang. Update: Tidak lama setelah rating bintang 1 langsung ditelpon customer service, padahal sy sedang sakit tapi ditanya kendala teknis ini itu cukup lama.
493;Maya Layla;5;01/10/2022 12:59;Excellent
494;Hanif Rahmansyah;5;01/10/2022 05:37;Fiturnya lengkap banget. Bisa connect dg asuransi juga. Mantap
495;Ramadhi Ali Kurmana;1;01/10/2022 02:58;Nyari apotek nya jauh2 mulu. Bukan masalah ongkir nya tapi orang sakit butuh obat buru2 malah dikasih apotek jauh padahal obat maag standaran doang tiap apotek pasti ada
496;alicia soesilo;5;01/10/2022 02:13;Great
497;Ibnu Samir;5;30/09/2022 13:28;membantu sekali, terutama layanan chat dengan dokter nya, cepat dan mudah, thankss
498;Tri Hanifawati;5;30/09/2022 13:06;Very useful
499;Maida Paramesti;5;30/09/2022 09:37;Benar benar membantu saya menghadapi masalah kehidupan:)
500;Candra Kurniawan;1;30/09/2022 05:26;Aplikasi tidak bermutu masak berlangganan aja gak bisa padahal ada menunya berlangganan termasuk CS nya juga gak bermutu banget sudah dikirimi video sesuai permintaanya lho masih tetap aja gak kena
501;Bozzmoms;1;30/09/2022 02:26;Error, tidak bisa order obat, padahal sudah update aplikasi, tapi tetap gagal order terus.
502;ressa firmansyah;5;30/09/2022 01:50;Seamless. Rebahan aja bisa ke dokter, dapet obat. Nyambung dg asuransi pula.
503;Dewa Made Cakrabuana Aristokra;1;29/09/2022 15:50;Apalagi yang kita butuhkan saat kita sakit, selain menunggu obat 2 jam, cancel 4 kali, kemudian obatnya tidak pernah sampai?
504;Lonna Julita;5;29/09/2022 13:27;Helpfull
505;Kuro CK;5;29/09/2022 12:08;Useful while lockdown
506;yoan yang;4;29/09/2022 03:16;Gps blm akurat
507;Rivaldi Handaka;3;29/09/2022 00:57;UIUX nya ajak agak bingung
508;Sulaeman Suwardi;5;28/09/2022 13:50;Cukup jelas dan sangat membantu.
509;Ariana Susanti;5;28/09/2022 13:35;Sangat memuaskan
510;Fauzan Saputra;5;28/09/2022 10:43;Cepat dan mudah
511;dyah murbarani;5;27/09/2022 23:07;easy to use
512;Teddy Lee;5;27/09/2022 17:02;Bagus pelayanan nya.. Tks..
513;Hikari Azizah;5;27/09/2022 12:19;Imtegrated, setelah telemedicine, bisa beli obat, jadi nggak nyari satu satu dulu. Membantu kala butuh dadakan
514;Marcris C.;5;27/09/2022 11:18;So fast and effective
515;Ali Imron Rosadi;5;27/09/2022 10:24;helpfully
516;Edo CJ;1;27/09/2022 09:55;Tidak dapat menyelesaikan pesanan. Selalu kembali ke halaman awal. Xiaomi mi10t. Android versi terkini.
517;theonlyura;5;27/09/2022 09:09;Dokternya sangat membantu dikala emergency, terima kasih HaloDoc 🙏
518;ra tih;5;27/09/2022 08:53;mudah dan cepat. apalagi kalau beli di malam hari yang urgent dan dadakan.
519;Lilis Setiarini;5;27/09/2022 03:45;Like it much
520;Enrico NQB;1;27/09/2022 02:34;Aku pesan obat bonviva untuk 1 strip. 600k. Aku kira 1 strip dapet 3 tablet. Tapi cuma dapet 1 tablet. Mahal banget. Mending beli di online shop lebih murah. Cuma 300an
521;Dianalit Prayitna;5;27/09/2022 01:35;Choose the righ doctor..
522;Anita Fauziah;5;27/09/2022 01:06;praktis..kalau sakit2 ringan ga perlu bolak balik dokter antri lama2..apalagi kalo.punya anak kecil yg ada aja keluhan2 nya..thank u so much HaloDoc
523;Marissa Kristiana;1;27/09/2022 00:42;Aplikasi gak becus ngurus asuransi, klo emang gak siap, gak punya ilmu memadai mengenai asuransi, gak usahlah macem2 konek asuransi sama aplikasi model gini. Giliran dichat heidy nya cuma bilang butuh waktu tapi gak ngerti waktunya sampai kapan!!!
524;Adian Muhammad Ridho;1;26/09/2022 18:02;Harus memberikan bintang satu, hanya karena pemilihan apotik yang cukup jauh dari lokasi pemesanan, bahkan harus menunggu hingga 1 jam lebih untuk dapat obat yang harusnya segera karena kebutuhan, bukan menjadi lebih mudah malah jadi lebih sulit, memang sebelumnya tidak bermasalah baru kali ini. CS harus nya lebih responsif bukan menjawab hanya dengan pertanyaan prosedural padahal hanya meminta pesanan dibatalkan karena butuh obat lebih cepat, malah meminta email dan meminta menunggu 2 x 24 jam.
525;Mario;1;26/09/2022 14:38;pesan susu, sudah transfer, ga datang2, after sales ga jelas, uang hangus gt aja, sangat merugikan
526;Benaya Bagas Christianto;5;26/09/2022 11:02;Brguna banget
527;hairuly umam;5;26/09/2022 06:42;must have app for health assistance
528;Andrew Utama;1;26/09/2022 03:56;Repot banget skrg
529;Andre Korompis;5;25/09/2022 23:50;Cepat tepat terpercaya....good job !!!
530;Daniel Hansel;5;25/09/2022 12:45;Good apps..good service
531;Ine Handini;5;25/09/2022 09:33;Happy to know halodoc
532;Fajar Taufik Anwar;5;25/09/2022 08:54;Sangat membantu sekali
533;Ayu Aprilia;5;25/09/2022 04:30;Very helpful
534;Rio Bahtiar;1;25/09/2022 03:26;Pengiriman reguler via shipper.id gak bisa dilacak, dan pengirimannya lama. Apalagi sering gagal load chatnya, cuman keluar tampilan blank. UX Ok tapi performa apps sangat buruk.
535;OsCarLy;1;25/09/2022 02:41;Aplikasi sering error, Chat sering tidak muncul/tidak bs dibaca.. Sekali nya chat muncul, ada masalah, cari solusi dengan chat Heidy (sepertinya robot) tapi tidak ada solusi dan diulang ulang terus jawabannya..
536;aditya saputra;4;24/09/2022 23:49;Sebaiknya bisa pilih apoteknya sendiri. Karena beberapa kali, apotek tidak tersedia obat yg diresepkan.
537;Riza Nuari;1;24/09/2022 21:57;Nomor pesanan 61XE16-1150. Pesanan obat tidak diantar. Tidak ada follow up juga dari apotek atau aplikasi memberitahu soal keterlambatan pengiriman.
538;Adhya;5;24/09/2022 16:37;Good..sangat membantu
539;john paul yudhistira;5;24/09/2022 13:28;Sangat membantu
540;Duta Wirakarya;4;24/09/2022 09:57;Cukup ok
541;Semar Ontoseno;5;24/09/2022 02:45;Sangat membantu
542;Supratisto Tasimin;5;24/09/2022 01:47;nice apps
543;Resti Wulan;5;24/09/2022 00:26;Praktis, pembayaran bisa melalui gopay dan respon dokter cepat dan simpatik.
544;Aprida Lingling;4;23/09/2022 23:09;Pd saat konsul dgn dokter umum, layar chat kosong. Walaupun saya sudah ketik, tapi tulisan tidak keluar. Semoga bisa diperbaiki.
545;muhammad syarif;2;23/09/2022 14:39;Notifnya muncul terus, setiap detik Chat kadang delay jadinya tiba2 diend dokternya padahal koneksi bagus
546;Gamal Thabroni;5;23/09/2022 14:23;Sekarang fitur app sudah sangat stabil dan baik sekali, melebihi ekspektasi. Sudah 2x menolong saya yang sakit di saat tidak tepat (malam hari/psbb).
547;Henri -;4;23/09/2022 12:54;I can't download the digital receipt.
548;Reza Kusuma Ridwan;2;23/09/2022 10:59;Payah bgt bolak balik loading lama, kuantitas berubah ubah padahal apotik banyak
549;Aldi Fikri.A;1;23/09/2022 09:58;scam, history order ilang, dana terpotong
550;Angelia Basuningtyas;2;23/09/2022 07:33;Saat chat dengan dokter, chat history sering tiba2 hilang. Ketika notifikasi masuk lalu kita tekan juga diarahkan ke laman kosong. Berkali2 begitu
551;Dara Sindhu;5;23/09/2022 06:35;Cepat dan solutif
552;darosy imam;5;23/09/2022 04:03;Good app
553;Joanna Theresia Patay;5;22/09/2022 21:23;Bagus sekali.doktermya siap siaga,ramah,dan respon cepat.
554;Hanna May Ateta Ginting;5;22/09/2022 14:48;Sudah beberapa kali menggunakan aplikasi haldoc dan ga pernah kecewa sejauh ini. Penggunannya gampang dan langsung bisa koneksi dengan asuransi kesehatan
555;Janto Popon;5;22/09/2022 13:40;Very helpful
556;Rahmad Puji Darmawan (Puji);5;22/09/2022 10:19;Mudah penggunaan dan sangat membantu
557;icam sutisna;5;22/09/2022 09:49;Thanks dok
558;Irma Yuanti;5;22/09/2022 08:01;Good job, good aplication
559;Kris Kneeffel;5;22/09/2022 07:02;Responsif... good job dokter halodoc
560;Ari Purnomo;5;22/09/2022 04:43;Good
561;Devi Ratnasari;2;22/09/2022 04:15;Chat dokter tidak muncul pada screen
562;miftah fahmi;5;21/09/2022 23:47;Aplikasi yang sangat bermanfaat,
563;Irawati Anwar;5;21/09/2022 20:59;Dokter yang luar biasa selain berkqitan medis dengan sabar memberikan pemberian resep obat dan cara bila terjadi efek dqn pada jam jam dinihari sang dokter luar biasa menangani pasiennya
564;Achmad Fajar Sabana;1;21/09/2022 20:32;Coba di cek pemesanan P4X1GP-1207 . lama sekali. Apa mungkin tidak diproses ya? Drivernya no respond atas nama Taufik Husen. Namun gak bisa dicancel juga. Aplikasi kurang profesional
565;Meilina Wenwen;5;21/09/2022 12:28;Mantap
566;Herlina Manik;5;21/09/2022 11:57;Sangat membantu sekali
567;jesica christanti;5;21/09/2022 10:55;Dokternya ramah dan memberi info dengan sangat jelas. Terima kasih
568;Eli Silvi;5;21/09/2022 09:28;Drnya bgs layanannya. Sy puas
569;Sigit Tri;5;21/09/2022 06:39;Sangat memudahkan mendapatkan obat yang diperlukan..
570;Rahayu Utami;5;21/09/2022 05:52;Good
571;yona OMA;5;21/09/2022 04:56;Helpful
572;Bustanil Arifin;4;21/09/2022 02:09;Halodoc should provide more information why a delivery is canceled, and make the best attempt to automatically reorder it (Don't just cancel and refund). Or, provide a simpler way to reorder it manually than going through the store menu.
573;NengBiker Dwi Ariyani;2;20/09/2022 23:42;Habis diupdate kok chat dg dokternya malah blank nulis apa aja ngga keluar textnya. RUGI DONG INI UDA BAYAR KONSULNYA! balikkan uang saya!
574;Kukuh Lintang Segoro;2;20/09/2022 15:26;Driver hanya bisa dihubungi melalui SMS atau telepon dan petanya masih butuh pengembangan.
575;novi ningrum;1;20/09/2022 13:25;Sulit chat dengan dokter. karena saat chat, tulisan tidak nampak. Jd kosong aja gt chat nya. Saya cm bs baca apa yg dibilang dokter di notifikasi. Dari sore 4 konsul gitu semua. Cs di tanyain cuma bs buat pelaporan, keburu sembuh lah om..
576;Vivi Febriani;5;20/09/2022 08:44;Baru pertama kali coba order di halodoc.. ga nyesel.. OK bangeet.. makasii yaaa..
577;Chairunnisa Anwar;5;20/09/2022 08:08;Sangat membantu
578;Steve Freddy;1;20/09/2022 06:20;Kurang berguna kalau buat tebus resep. Waktu itu bisa berhasil 1x tebus resep tp pas mau tebus resep lagi dpt WA kalau resep sudah pernah ditebus sebelumnya. Pdhal resep yg di upload berbeda dng resep yg dulu pernah ditebus.
579;aldino ramasyah;5;20/09/2022 02:56;Sangat membantu
580;sobrina wilmar;5;19/09/2022 13:36;Respond within expected time, very usefull apps people no need to go out to see doctor and get medicine. It is easy and save time.
581;yosias nicolas;5;19/09/2022 12:16;Bagus, respon chat dokter cepat dan memberikan rekomendasi resep yang sesuai dengan keluhan rasa sakit. Biasa order lewat gojek tapi lancar2 saja, tidak ada masalah pengiriman, diantar sesuai alamat.
582;Eko Prasetyo;5;19/09/2022 11:20;bermanfaat
583;Arnold Simanjuntak;1;19/09/2022 09:27;Aplikasi dengan EXPERIENCE CUSTOMER TERBURUK alasannya : 1. Ketika memilih menu chat dokter, melakukan pembayaran dan dokter tidak konfirmasi pesanan, pesanan otomatis batal, namun dana akan kembali baru 2 minggu kemudian serta tidak tercatat di history pemesanan. 2. Pemesanan obat dpt dibatalkan oleh kurir secara SEPIHAK dan pengembalian dana memakan waktu 2 minggu. Tidak ada kenyamanan konsumen yang diutamakan pada aplikasi ini. Kecewa. SANGAT BURUK.
584;Melvin Zidan;5;19/09/2022 08:25;nice app
585;Wahyu Nurhadi;1;19/09/2022 07:00;Mau nanya kenapa beli obat di halodoc ongkirnya kena per obat, kenapa pesanannya tidak bisa dikirimkan/dipilihkan dari satu tempat saja? Padahal juga sudah coba pilih beli obat dari pilihan apotik yg ada, tetap aja ongkirnya per obat yg dibeli padahal milihnya cuman cdr yg hampir semua apotik itu ada sama asam mefenamat
586;ilmi syatibi;5;19/09/2022 05:45;Bagus
587;Arfan Kurniawan;5;19/09/2022 03:30;Very helpful
588;DiNiZEE FARDiANi;5;19/09/2022 01:40;Maka my life easy...
589;dyah maharany;5;19/09/2022 00:55;Aplikasi yg membantu..
590;Badruz Zaman;5;18/09/2022 22:13;Simple and fast. Well done
591;de de;5;18/09/2022 12:36;Sangat baguss ndan
592;Elyn Nur Indahsari;5;18/09/2022 12:25;Great app for consult with doctor
593;AMWUTS;5;18/09/2022 11:47;Very helpful apps.
594;hany jufri;1;18/09/2022 11:05;If only we have another option :/
595;Adi Bramastra;1;18/09/2022 09:54;Pesen obat di halodoc, di refer ke apotek yang jaraknya 13 km dari tempat saya.... Alhasil pengiriman juga jadi lama.... Tolong pemilihan apotiknya diperbaiki jadi yang dekat2 saja. Edit : sekarang makin gila lagi, saya pesan obat saat di cilegon. Di pesannya malah ke apotik di kota serang. Hey jarak cilegon - serang itu 20km. Masa tidak ada partner apotik di kota Cilegon??? Kasihan kurir yang antarnya
596;Indry Kusuma;5;18/09/2022 08:59;Thank you to make life easier
597;Sugih K;5;17/09/2022 14:18;Mantabbbbb
598;Theresia Kurniawati;1;17/09/2022 08:12;Aplikasi sering error ketika chat Sehingga bisa mengakibatkan kesalahan dan tidak fleksibel
599;Muhammad Imran;5;17/09/2022 07:49;Saya sakit asam urat. Halo doc mempermudah saya utk beli obat yg saya butuhkan tanpa harus repot keluar rumah dan antri
600;Made Widyantara;5;17/09/2022 07:09;Good
601;iki dyna;5;17/09/2022 03:05;Helpful app!
602;Achmad Ansyori;5;16/09/2022 11:44;Menurut saya aplikasi ini banyak membantu untuk yang tidak bisa keluar rumah baik untuk konsul.ke dokter atau untuk.membeli obat yang tanpa resep dokter. Opsi pembayaran bisa ditambah dg pakai DOKU bs lebih keren.
603;Djatmiko Trisasono;5;16/09/2022 02:04;sangat nyaman dan mudah
604;Qusnul Muklisin;5;16/09/2022 00:20;Aplikasi halodoc sangat mudah digunakan, sebagai ibu rumah tangga dengan 2 anak balita tentu ini sangat membantu saya karna tidak setiap saat bisa pergi ke rumah sakit untuk berkonsultasi
605;Lily Sjahril;5;15/09/2022 23:38;Cepat dan praktis
606;Bayu Tri Kuntoro;5;15/09/2022 14:45;Sangat membantu
607;Suyanto Suyanto;4;15/09/2022 13:53;Keren
608;Yohanes Stanley;1;15/09/2022 08:48;Pengiriman terlalu lama tanpa memberitahu kendala dan notifikasi, orang sakit bukannya jadi sembuh malah makin parah nunggu obat disini
609;simon wahyudi;5;15/09/2022 06:35;Mantap
610;Shabrina Tifani;5;15/09/2022 05:34;Very helpfull
611;nightfurryify;1;15/09/2022 04:14;Jadi saya cancel orderan obat karena tidak segera dapat driver. Sudah menunggu lebih dari 1 jam. Saat mau order resep sebelumnya tidak bisa digunakan, harus konsultasi dokter ulang. Membuang biaya dan waktu. CS dihubungi tersambung tapi tidak menjawab
612;Irham Muhammad - KSB;5;15/09/2022 03:13;Sangat membantu
613;Hendra Lee;2;15/09/2022 01:46;Lambat dalam handling complaint, order obat yg diresepkan dokter bermasalah (sempat order resep,tp orderan di app tidak berjalan, mau pesan ulang sementara resep digital sdh not available) Sudah tlp ke CS perihal tersebut, infonya orderan akan dibatalkan dan harap dipesan ulang. Setelah menunggu H+1 esok harinya dan sudah tlp yg ke 3 kalinya ke CS,permasalahan masih sama. Kalau pasien yg sekarat mungkin ga akan tertolong dgn pelayanan seperti ini karena obat tak kunjung terpesan.
614;Sony Surbakti;5;14/09/2022 22:59;Dokternya baik2
615;Yadie Ray;3;14/09/2022 15:13;Aplikasi & layanan sangat bagus tp sayangnya TIDAK RAMAH PENGGUNA & TIDAK MUDAH digunakan. Resep di info ada dikeranjang tp dicari2 keranjang yg dimaksud entah ada dimana. History chat dgn dokter serta resep dokter tidak bisa dicari apalgi dilihat lg. Entah nguap kemana history chat & resep dr dokternya..
616;ali subhan;4;14/09/2022 12:14;Keren
617;Yuri Akay;5;14/09/2022 11:48;Bagus
618;Melanni Wirawan;5;14/09/2022 06:14;Murah mudah dan cepat dibanding ke dokter di rs
619;Mama Tyas;5;13/09/2022 20:21;Cepat
620;Ayu;5;13/09/2022 10:43;Praktis bgt, jarang sakit tp skalinya pakai sangat Ngebantu krn kita sakit kan udah ga bisa mikir ya..
621;Nurhayati;5;13/09/2022 09:29;Aplikasi halodoc ini ngebantu banget, jadi praktis kalau mau konsultasi sama dokter, harganya juga cukup terjangkau
622;harri jefria;5;13/09/2022 03:59;Good
623;Fauzan hangriawan;5;12/09/2022 22:49;keren
624;Lina Karlina;3;12/09/2022 17:41;dokternya dalam 2 menit gabisa dihubungin tp saldo gopay ttp ilang. musti hubungin cs live chat utk saldonya balik lg itupun hrs ada buktinya jd pastiin selalu screenshot pas nungguin dokter 🙃
625;Achmad Sugiarto;5;12/09/2022 15:58;Platform yang tepat untuk konsultasi medis dan psikologi
