"","text"
"719","very hel"
"720","topp gilee membantu masyarakat"
"721"," nyoba  halodocama kalitrnyata mantai resdgn ciaya  trjangkaumudah   aasi nya"
"722","my first time i halodoc  murder sgt ngebantu tanarus antri  klinik makasih ya"
"723","imsive"
"724","fast rese and user friendly"
"725","sistem lu dibenerin  tolol  obat obatan dikasih harga  diatas het"
"726","so good"
"727","  menghubungkan inhealth  aasi sahaan temsaya   kerjasama   halodoc ketentuan   masuk akal rumah sakit   u kerjasama  sahaan temsaya   damelakukan klaim  inhealth"
"728"," "
"729"," resif"
"730","cemudah  tis"
"731"," membantu setiaat"
"732","very hel"
"733","pesen  obat kenaengirimannya dih ya  oiriman satusatu   ambil instan rb masak x biayanya  nnya barengan"
"734","bagus"
"735","easy to use"
"736"," chat  dokter  bayar   chat dokternya ga  disuruh h dokter    udah g u bayar   musti bayar   rugi yg ama  dokternya yg gak   teterus bayar   chat  cs nya luaaaamaaaa balesnya"
"737","mudah "
"738","just realized there is some kind of bug in the awhen i tried to omy antment history there are only a sign try again but it didnt solve anything but for overall a really love halodoc because it hele a lot for laboratory antment or even have a chat with the doctors this aalso make a vaccine antment a lot more easier"
"739","keren komn g  resya  chat aasi terhubung live agent dicuekin"
"740","fast resand friendly"
"741","instan held consultancy"
"742","memudahkan   butuh doktter"
"743","   membuka riwayat transaksi aangsung error  kenaa"
"744"," membantu  mudah   dukungan dokter  handal terimakasih halodoc"
"745","always freezing or forced close whenever i tried to omy history transactions"
"746"," membantu wajib a aasi "
"747","  membuka riwayat transaksi  dimana  beberaeseng   tebus"
"748","good service"
"749"," berobat   efektif  efisien terima kasih halodoc "
"750"," membantu terima kasih"
"751","riwayat transaksi   dibuka"
"752","so easy to use and simso we can consult with doctor immediately"
"753","ga bsa liat riwayat transaksi"
"754","it would be nicer if theres a sick letter for us as a evidence that were not feeling well thanks"
"755"," gimana beli obat  halo doc tabat ga ah sam kontak via chat  email ga  solusinya scam"
"756","good"
"757"," membantu  butuh cetaa  ngga butuh researena ud resendiri yg  dgn dokter halodoc   tolak"
"758","makes life easier"
"759","fast and easy"
"760","really usefull in emergency"
"761","sehabis ue disetialaman  gangguanerror butuh koneksi ynag  stabil ketimbang  main online gamevideo call"
"762"," membantu"
"763","terbaik   dokter  cesmobatnya"
"764","cukumbantu"
"765"," membantu dikala gemting"
"766","as a mom with many children who has to stay at home this as hel masyaallah"
"767","  "
"768","suhel love it"
"769"," ue  versi terbaru       riwayat pesanan  muncul   salah   coba restart hhkan"
"770","gileeee mudah bgt cuyyyy smbil kerja smbil rebahan smbil konsul smbil ngakak  klau tykwkwk  trima kasih halodoc  dokter  kmudahan yg dbuat  jman now  smoga uatnya  tenaga medis trmsk dokter dimanamreka brada ancar hidu sukses rezekinya  hidu tenang dll"
"771","good"
"772","aplikasi payah ga  login g  sms verifikasi gimana  pakai layanannya"
"773","celayanannya"
"774"," membantu  yanan medis from home praktis terhubung  asuransi"
"775","good as simas klikklik obat sam"
"776","good"
"777","dokter  halodoc ramah  reseng  sesuai  keluhan en ditambah service  jam sei  rumah sakit  membantu  u konsultasi sewaktuwaktu"
"778","aasi yg tis unt mendasaran kesehatan sesuai kebutuhan"
"779"," membantu"
"780","bantu  daruratdan komunikatif"
"781","good jejaring ak nya  diuas "
"782","good"
"783"," membantu  dokternya  beralaman terimakasih halodoc"
"784"," aasi  halodoc  bs cek status  iriman  dr  yg ditaman  a   menunggu obat   jam t airaan    menit status iriman   berubah on  bot   membantu   contact call center"
"785"," diue  ngaco history konsultasinya konsultasi        kacau ue nya susah  chat sm dokter minggu   ilang  riwayat ngeselin"
"786","bintang   klo manjur auto "
"787","mudah  cepat"
"788"," a alaman bingung en bawa anak berobat   minggu dokter anak  tutuaalodoc ngebantu banget  konsultasi   libur terima kasih halodoc"
"789","nice acation"
"790"," membantu keluarga "
"791","kurir gojek  ramah"
"792"," membantu"
"793","good aation and reliable so far"
"794","first time coba  dokternya bagus"
"795","cukumbantu"
"796","membantu banget  era emi ngga u  rs  konsultasi"
"797","berobat  mudah  terhubung  asuransi"
"798","mantull"
"799","good"
"800","error  gak  login  ue tetek "
"801","excellent"
"802","res cepat"
"803","  berguna sy sdh coba  kali bad exence"
"804"," membantu "
"805","dokter nya ramah  mudah komunikasi"
"806","aasi membantu  diagnosa    semke dokter"
"807","seinya kolom lengkaetail nya    enter  isi info"
"808","good"
"809","nice"
"810","pelayanan  "
"811","beli obat  dikirim dibatalkanrefund   paraahh"
"812"," membantu"
"813","perbaiki layanan elian obat stok nggak ue   ak aslinya  elian  gagal kalo u  dikasih list ak  aja  ngejual obatnya   milih  dikirim   "
"814","aasinya  membantu    jam yg    konsul  jam   an  dokternya hell utk membantu "
"815","cetidak i antri"
"816","good"
"817","very useful we can consult to a doctor with our erences without leaving home esally in this emi era"
"818","very nice"
"819"," terbantu   membeli obat    i  terimakasih "
"820","mengaaya   memilih ak  membeli obat  beli  obat berbeda   obat satunya kosong  akibatnya  ganti  merk yg  akernya bilang   edaan sfik dimana         edaan dosis dsb  klaim  aker harganya     cek harganya berbeda walautidak  berbeda  case     customer  yg mendaan harga berbeda"
"821","kesekian kalinya order obat  halodoc  dalokasi ak   banget  alamat iriman kasian drivernya"
"822","mudah    omenunya"
"823"," bermanfaat  konsultasi dokter jam mudah  praktis dg dokter yg kredible"
"824"," membantu"
"825","dokter  membantu  yanan obatan"
"826","aasi  ngelag taerbantu  cs  mengembalikan saldo gopay"
"827","usefully"
"828","good"
"829","very user friendly and suoer fast service"
"830","bnyk bug sialan contoh alokdokter  lbh efisien konsul  kelar  abis harusny sesuai kebutuhan menyebalkan  better alokdokter "
"831","good app"
"832","resaasi cedan  membantu   darurat"
"833","udh bayar biaya  udah keng taokter  sibuk uang  "
"834","tot"
"835"," membantu disaat emergency"
"836","mantap"
"837","dokter  ramah"
"838"," menyusahkan"
"839","excellent and hell thanks halodoc"
"840","i bought medicine from halodoc that need crin the medicine came has already exd and i cant buy another one because the crin can only be used once the helk said they would be reach me in  hours but they havent reached me until now if my illness is chronic i would have died from either my illness or the exd medicine slow customer sut "
"841","aasi jelek asuransi  gak sesuai s dis bilang  tunggu   taenyataan   claim    emang as diviralkan"
"842","great aedbd"
"843","mantap"
"844","konsultasi dgn dokter herman bagus  solusinya ok banget terima kasih ya dok"
"845","a hel hand just a click away"
"846","as an athis is a good athat is easy to use with come facilities for health ose my only comnt is the menu to get to customer service when something went wrong is not intuitive and not easy to use you are most of the time redirected to faq"
"847","fast rese great"
"848","good"
"849","iklan  youtube editor nya  prindavan"
"850","layanan lab home servis nya ok ce  hisa lamhaung konsultasi online ga re "
"851","jangkauan ak  eli jaraknya        kilometer su driver instant nya  batalin orderan "
"852","exellence"
"853","sungguh membantu   berobat  manadan ka thank you"
"854","realy hell"
"855","easy to use esional medical assistance"
"856","ok"
"857","data   berubah semu kinian data eror"
"858","the best help"
"859","trima kasih berkah dalem"
"860","useful and user friendly ui"
"861","very resive ans hel"
"862","awesome"
"863","okay"
"864"," membantu    sakit  tdk  i kedokter offline resdokter  bagus"
"865","kerenn"
"866","very hel"
"867","ah    ti driver yg  mengantarkan obat"
"868","pelayanan dokternya sgt "
"869","aasi yg simdan bermanfaat "
"870","sistem buruk   gunaan layanan  status diubah  selesai refund diklaim  tgl    bukti  diajukan  es refund maksimal     tgl    es refund  diterima"
"871"," membantu"
"872"," terbantu dg  halodoc ngk u i ngk u ngantri  ngk a cash  membantu"
"873","aasi   membantu banget"
"874","tolong tambahkan fitur  chat langsung  drivernya"
"875","keegood work and ude for more best exence"
"876","hel"
"877","niceeee"
"878"," lancar transaksi makinkesini  error  transaksi cek harga resea   gagal    transaksi obat gak dikirim  cancel  dana gopay ga langsung baliksuruh nunggu x jam  kalo emergency butuh obatnya  isoman gimana nunggu kolaulu yg sakit"
"879","aasi  lelet"
"880","lelet disaat urgent  ga  dii"
"881","cs slow rese  banget nunggunya"
"882"," membantu"
"883","mantaaya  konsul teledokter dilayani    seksama reseluar    langsung tebus obat  ak online han   obat  daan  runtutan   jam  konsul dokter    halodoc bantu orang  tanarus visit langsung utk kurangi resiko agi   banhak resiko covid sukses ya"
"884","membantu  ala    orang   rumah"
"885"," link nya  asuransi   mudah  halodoc"
"886","komunikatif yan bagus  sesuai hara"
"887"," membantu"
"888","konsuktasi dg olog klinis "
"889","  kena covid amakit infeksi  kebantu banget ama ani konsul dokter jam   jg   obat  dlm  menit terima kasih "
"890","bagus"
"891","simple"
"892","really hel"
"893"," dg saran  diagnosa nya"
"894",""
"895","kemudahan  fleksibilitas memilih tenaga kerja kesehatan sesuai       ditambah    menghubungkan asuransi adi mauanggota keluarga  biaya obatan  obat  langsung ditanggu asuransi"
"896","praktismemudahkan orang  sakit tanerlu   antri"
"897"," membantu terima kasih"
"898","hel esally for covid ent"
"899","good"
"900","badabest mannn"
"901","terima kasih halodoc sy  konsultasi dokter  dbat tanrs antri  klinik"
"902","hel many things of getting better solution by doctor immediate action"
"903"," ah  aasi     kehabisa uang  coba  konsultasi dokter mata  bayar   bayat   konsultasi keterangan  aasinya eror"
"904","aasi   membantu"
"905"," membantu"
"906","great apps"
"907","perfect"
"908","yess kerennn cedan tanggamksh dok"
"909"," membantu"
"910","puas  konsultasi dokter detail  dokternya "
"911","variasi lengkarga terjangkau   i halodoc terima kasih"
"912","sungguh ngebantu banget  calon  sei "
"913","mudah ringan d menyenangkan "
"914"," bermanfaat dokternya  resif  ramah"
"915","cetanggap"
"916"," berguna disaat urgent  malam"
"917","nice"
"918","terrible  n obat gak  aunanya  telemedicine"
"919","memudahkan      klinik ato rs thx halodoc"
"920","aasi   membantu  layanan dokter jarak jauhnya  terintegrasi langsung  ak"
"921"," mudah   mudah memilih dokter  dibantu  mengirimkan obat  ak terdekat"
"922","keren cemantan akurat  membantu  terimakasih  buqt tim halodoc  hebat"
"923","awesome acation and user friendly kee up"
"924","good job"
"925","my first contac with halodoc sure i can"
"926","easy to use and verry hell"
"927"," membantu  dokter offline tutup"
"928","clear exation"
"929","aa bagus  memudahkan chat dokter  tebus obat  terintegrasi"
"930"," membantu "
"931","obatnya dianter  rumah  salah and yeah  banget diesnya"
"932"," membantu tis hemat "
"933"," membantu disaat emi sei "
"934","yanan cesimdokternya friendly"
"935"," membantu  efisien  cesolusinya terima kasih"
"936","easy to use"
"937","gbs login no otp udh bener failed mulu"
"938","cant refund my transaction got cancelled and when i inrefund form its always failed edited  they reached out to me and sending my money back"
"939"," membantu"
"940","very very hel"
"941","manthul"
"942","ok"
"943"," membantu  terima kasih halo doc"
"944"," aasi  membantu banget"
"945","keren  konsul  rumah"
"946","easy to use and clear"
"947","sangaaat menganggu dikala ing"
"948","cetedan sehatthx halodoc"
"949"," membantu"
"950","ok terbantu"
"951",""
"952","dokternya kootif   membantu  ga u bolak  nanya   buang uang "
"953","terjawab  keluhan  semoga cesembuh "
"954","praktis"
"955","nice apps"
"956","beruntung  halodoc "
"957","cememberi   cukulas"
"958","very hel a thx "
"959","ceresnya"
"960","dokternya ramah   nunggu koneksi internet  terganggu"
"961","good apps"
"962","wow  br ama kali beli obat d  ga nyangka simmudah ce   tau aasinya cm ga ah coba muter cr ak ga nemu  aasi  lgs ketemu iriman instan cm rb rese   bs d buatin reseline  halodoc bintang "
"963","ok"
"964","its getting worse lately  ngga smooth   ent gateway nya masukin ota  udah gagal   resegital sdh dr dokter  nan ttbilang u resep"
"965","good acation"
"966","aasi yg  membantu "
"967","ok banget   menolong"
"968","bagus"
"969","bagus  cukumbantu bgt"
"970","nice"
"971","aknya kadang  bangettt   ak terdekat kasian abang gojeknya "
"972","fasilitas  situs    ganti il  anak  ngan  i aasi"
"973","  aasi   konsultasi covid isolasi mandiri good job"
"974","great service for online health service"
"975","kalo  harganya jgn mahal "
"976","pengiriman obat ce "
"977","so imsive i have dry cough and within less than  minutes i got the cough syruat i need the aayment system is also so smooth and not comated the ess is so easy and not convoluted like any other similar awell done "
"978","akurat cedan mudaj"
"979"," bedrest dirumah orgtua laman bekasi ak terdekat ga lengkana ga bs  nek motor krn  oangat membantu  halodoc  menit sam trmksh yah"
"980","thanks halodocsemakin   bagus aasi yg  journey berobat  hahamenambah imun"
"981","cool"
"982","aasi jelek sistem order aneh  kali  konsultasi  dokter   cekout order obat sdh terkonfirmasi ayaran dll tinggal tggu obat  lamaa      cek status order  berubah  dibatalkan  siag membatalkan  kena   konfirmasi   elasan  order ulang sanan obat nya  biaya jd  dicover asuransi pdahal yg error dr sistem hallodoc sdh chat dgn cs  bs membantu aneh"
"983","okay banged"
"984","solusi  konsultasi telemedicine  dokter  biaya  terjangkau   u  rumah resegital  dokter ok bgt   download     claim obat  ak kekurangannya  harga obat    lihan aknya cukuuh  lokasi san"
"985","very good a nice and hel doctors"
"986","menolong  yg  males  beli obat    sakit t"
"987","mudah   membantu"
"988","rese  didownload fasilitas cek harga ga   akes rese  es"
"989"," buruk  janji temu dokter taokternya tek  er  cancel  temu dokter  sdh  cancel lwt email cs whatsaan via live chat cs taetalo doc bikin janji temu  dokter    refund gak  kejelasan samskrng  yg  download aasi  hati  refund     sdh delete aasinya gak auang hilang"
"990","good"
"991","good aermanfaat "
"992"," membantu "
"993","hallo doc membantu  cnggadokternya bagus  cocok obat cesamerumahga u reke rs lg kecuali  emergency"
"994","mudah simdan "
"995","sngt membantu"
"996","mantagkap"
"997","so hell"
"998"," sy konsul  art sy yg  nama sy yg ditulis jd en sy  sdh bilang sy  covid parah apknya"
"999","good"
"1000","cool"
"1001","good"
"1002","ok sgt membantu"
"1003","recomended"
"1004"," membantu lengkangan rekomendasi obat catatan dokter   list harga obat  mudah  difollow u faskes  ak terdekat"
"1005"," berguna ayaran tis   ribet"
"1006","kasaja dimana  konsul kesehatan  mudah murah  menyenangkan"
"1007"," menunggu  pesanan obat dibatalkan  u banget  merekomendasikan aini work flownya  bagus"
"1008","hallo doc makes me need hallo helsk any cc and va were failed"
"1009","obatnya sesuai resekter diterima diak kosong obat gak kekirim   tetea beli obat   "
"1010","maaf  kasi skor buruk taalodoc   diandalkan dikasi resema dokter n obatnya tabat     tanotifikasi an biaya layanan k   mahal edit   n obat   sakit a indra  berkurang   sehat sanan obat lancar"
"1011","sembermasalah  sanan obat ama kali  halodoc tai kaian   on time  sesuai nan  recommended terima kasih "
"1012","salah  aasi kesehatan yg ok"
"1013"," membantu"
"1014","chat dgn dokter oke  deseaang    beli obat online"
"1015"," membantu"
"1016"," membantu"
"1017","this as getting worse i cant buy anything in this aow because it keeclining my ent  fix it"
"1018","thanks for everything "
"1019","aasi yanan medis terbaik  mudah   terintegrasi  layanan "
"1020","harga kirim  mahal   harga kirimnya   sei gofoodgrabfood    "
"1021","resya cedan elasan  dimengerti"
"1022","ceresya dokter nya  sabar   anyaanterima kasih ya"
"1023","serasa a dokter adi deh tenang tinggal chat aja obat dikirim "
"1024","resif"
"1025"," bug   mengubah data pembayaran   transaksi  berulang  es  efisien  menghubungi cs taroses refund cukurbelit     tis  aasi error"
"1026","   membantu thank you halodoc"
"1027"," membantu konsultasi  emi  menghemat  dibandingkan konsultasi offline   hemat "
"1028","proses   konsul dgn dokternya  nggak kayak alodokter refund saldo nya   kerja  shoaja kalo batal langsung dibalikin   "
"1029"," membantutantuk biaya iriman obat hannya  instan  mahal tolong  study  terkait iriman obat    oambil ditemjadi   biaya tambahan  lumayan mahal biaya irimannya"
"1030","good"
"1031","hel banget kalo urgenttailihan ak nya ga  jauhnya samerkilo meter   nunggunya"
"1032","oke"
"1033","terbaik great auser friendly"
"1034","pesan obat aaya a ts dr halodoc lambat gila aja  ya kasi ngga sesuai nan dosisnya"
"1035"," belanja obat top  konsul dokter traumatis  udah jelasin gejala  dr  samkrg  larannya  suami n anak tb maaf     org  lhaa  cm cerita kronologi trus tb  keluhan utamanya a  jelasin jang   kayak sia bgt tb reseluar ga  elasan trus  chat ditutun dikasih jemke  males uninstal"
"1036","very good"
"1037","good"
"1038","lu kalo ng jadwal  jenis vaksin yg bener donk vaksin kaga  lu tulis   "
"1039","membantu "
"1040"," membantu  disaat emi sei  terimakasih halodoc"
"1041"," ga kalo mesen obat drivernya tuh gausah    gaada ak yg deket  siang siang aja  yg buka  daerah rumah  ara resegital aja jd hrs mesen dr halodoc"
"1042","solusi cepat"
"1043","its getting worse driver ask me to cancel the order due to delivery t seems to far from him from surabaya to gresik the chat assistance not hel there is no on for cancellation i should call the cs to cancellation"
"1044","thank you"
"1045"," tenang  halodoc"
"1046","aasi pelayanan cs  tim teknis   h   tanggung  gantian biaya  tindak  an kesalahan aasi   menanggung customer   beraustomer  menanggung kesalahan  aasi  tujuan  aasi  memudah    memulit  merugikan customer"
"1047","mitra ak  kalo ak  tutungan oordera  yg rugi mitra driver gojek beraruh   daorderan  aruh  mudahan driver  mendaan order        buang bensin    udah jalan  km  ak yg  tutuu ak  tutusa tetaka orderan"
"1048"," membantu thanks halodoc"
"1049","cs ga  ga  rese resen berulang kali tercancel otomatis "
"1050"," membantu"
"1051","satisfy"
"1052","hel banget   ga   rumah sakit"
"1053","good apps"
"1054","good hoslity"
"1055","dokternya   terima kasih halodoc yg   keren"
"1056","top"
"1057","very tical and hel esally during emic "
"1058","very hel"
"1059","qualifiat dokter"
"1060","best alg sakit tkt sotoy self diagnose n kbtulan lg d bangkok subuh dr rs yg bahasa nya gw ga bs inggris mrk an mending halodoc dl olongan ama nyoka jg smena aritmia attack k halodoc dl n lgs ketolong thanks bgt god bless"
"1061","hell apps"
"1062","good hel aeasy to use"
"1063"," membantu"
"1064"," membantu res dokter jg ce"
"1065","aasi crashed setiaik toko kesehatan android samsung a"
"1066","errors most of the time how can this ae used and got  rating"
"1067","error  unduh resep"
"1068","after uing the an  august  now it doesnt work at all very disanting  check again soon"
"1069","memudahkan"
"1070","bagus"
"1071","puas"
"1072","nice"
"1073","simn efficient"
"1074","  membantu   urgent makasih halodoc"
"1075","friendly doctor exn everything"
"1076","user friendly "
"1077","excellent service"
"1078"," membantu   emi"
"1079","good service"
"1080","   chat  dokter meskiaa  mengurangi saldo  coba bayar i gotidak "
"1081","penanganannya ceobatnya samceterimakasihh"
"1082","mantan  membantu"
"1083","mudah gunaannya dokternya ramah komunikatif informatif jd bikin lbh tenang"
"1084"," solutif  harga terjangkau"
"1085","si ux nya jd solusi  yg  cedan  rmh aja"
"1086"," aneh  amau beli obat  chat dokter ok  chat masuk  sesi chat aja ga  eror trus  masuk  obantuan chat   ga  balas balas sammau  jam   balas  bilang keburu sakit h nungguin balasan nya"
"1087","resya cedan elasannya cukunyeluruh   asuransi cukuaktis  yg  sakit    rumah  diantar langsung  rumah"
"1088","fast res and delivery"
"1089","user friendly"
"1090","sy  konsul dokter  dokternya bagus takasinya   minus reseri dokter  sy tebus taanemberitahuan   obat  resekter   cancel    dibeli  karna resedi  berlaku   item obat     dibeli      dibeli   ay caaayar konsul taesedak  diunakan  beli obat  menghubungi halodoc assistant taa uma karna   solusi"
"1091","good app"
"1092"," membantu    klo sikon darurat s   mingguklau  rsklinikesmas blm   dokternya"
"1093","terima kasih halodoc memudahkan   berkonsultasi  dokter  beli obat"
"1094","membantu disaat si    mencari kebutuhan obatobatan  telemedicine ditingkatkan  yanannya thanks"
"1095","  ya"
"1096","good service details fast and doctor are friendly"
"1097","user friendly"
"1098"," memudahkan sekalii    males k dokter "
"1099","disurt  dokter yg komn fast res"
"1100","keren"
"1101","very hell when we need medicine immediately"
"1102","so helll  thanks"
"1103","dokternya ramah  cedalam menanggaesan  dikirim terima kasih"
"1104"," membantu "
"1105"," membantu"
"1106","very hell although ui need some enhancement to inline with customer exence"
"1107","essy"
"1108","dokternya  anyan   saran dgn "
"1109"," membantu"
"1110","janji temu dokter   dii  orang jabotabek aja kayaknya kalo   jawa masak  dokter  tersedia"
"1111","gw  i halodocit was helldan yg i dokternya  ok bgt  alhamdulillah tiakasih resen diagnosa yg  dgn chat orang dirumah sembuh yg ing  konsul dokter  bilang aja kondisi   sa salah diagnosabeli obat  okmau  jkt    kota  tinggal et aja  deh tu barangkereeen halo doc"
"1112","very very hel"
"1113"," membantu"
"1114","dokternya sabar  telaten"
"1115"," membantu   bermanfaat "
"1116","ok"
"1117","yanan dokternya ramah  informatif"
"1118","aasinya bagus t semngebug dimana  sy chat chat dokter g msk disy    sesinya selesai tolong  aiki"
"1119","resnya ce "
"1120"," membantu"
"1121","nice"
"1122","butuh fitur  nya  user komen dokter   alaman nya   rating nya     simbol jemterus rating   taambahkan beraanyak   rating  su   ragu  chat "
"1123"," membantu  cepat"
"1124","quick and easy to order medicine online"
"1125"," mudah   membantu  konsultasi kesehatan  n obat  online  rumah"
"1126","x tox dana gak masuk uang dibank x berkurang dicontact chat cs gak  ditlk angkat diemail gak dibalas  kemana komnnya ylki"
"1127","aya  berjalan    terhubung  dokter tahat   teletidak  kirim gambar   uang   taa  a"
"1128","lengkan mudah    oyaang disediakan"
"1129","utk fasilitas cetingnya ok bgt ttika  rese obat yg cukunyakketika mencari obat yg tersediagagal loading berkali   jam an   beli   ak  dilain   daobat  dokter   tebus  halodoc aturan i obat   tulis  ak mohon  atian  de"
"1130","good apps"
"1131","mantap"
"1132"," membantu"
"1133","usefull apps"
"1134","convenience and reliable"
"1135"," sanan obat disana  catatan alamat tolong catatan nya dikirim  drivernya  berkali kali nulis catatan detail alamat tetaidak samke driver  driver berkali kali salah alamat"
"1136","good acationthe acation is very useful for hel my family who are sick"
"1137"," times cancelled and the money never refunded worst medical aetter use another app"
"1138","okok"
"1139"," aduan saldo yg terng taokter   tolong diadakan    merigukan thanks"
"1140","fast rese delivery ce privacy aman"
"1141","really hell thank u halodoc"
"1142","really great and useful"
"1143","tolong aiki kolom lengkaamat kirim  austomer   k driver   alamat kirim  sesuai  titik  alamat lengkadak   ariver    komn     tolong  atikan obat   ing  en  samtidak tersaman  salah m driver  cust gara gara alamat   terbaca  driver kadang obat tsb diambil  diantarkan  driver  jarak  cukuuh"
"1144","trmksh byk halodocsgt membantu uboosterbahkan disaat dilaan trmksud anak sy jalur berbeda siag alodoc ga ntricelayanan dilaan  aya  akurat mlalui ahalodocsuccess to u"
"1145","quite easy to reach the docter but the reanswer a little bit slow"
"1146","so far the as useful and hel"
"1147"," membantu"
"1148"," membantu disaat urgent"
"1149","aasi   membantu  chat  dokternya  cepat"
"1150","very useful"
"1151","good acation"
"1152","i bought some medicine but not delivered to me"
"1153","good"
"1154","great app"
"1155","bagus ngga u ngantre   klinik  akit "
"1156","good service"
"1157","terima kasih  membantu  mencari obat dilokasi terdekat"
"1158","good avery hell"
"1159","easy to use and friendly user interface the doctors work ently and gave a clear exation and it helank you"
"1160","very hell"
"1161","tanggal  jam an  coba chat dokter h dokter   h salah  dokter    layar  bayar nunggu  menit  terlayani   menit  ulangi dgn dokter  bayar   terlayani  coba dgn dokter salis bayar  mahal  terlayani  cek  riwayat transaksi kosong   n an  dokter   tersedia  diganti dokter   tungguanda  antrian no    direfund"
"1162","mantab"
"1163","mantader cesam"
"1164","user friendly"
"1165","fast rese and service excellent"
"1166"," membantu  konsul    i keeumah sakit"
"1167"," membantu"
"1168","working very well"
"1169"," membantu"
"1170","good apps"
"1171","beberali n halodoc ngga samlasan ak kurir susah kontak   ngga  kontak via whatsaarena nomor tlta disamarkan aasi kenaalodoc menyamarkan nomor    disuruhisi nomor tl aasi"
"1172","pesan obat  anak   sakit berharajam   diterima kenyataan nannya dibatalkan samx x  ak x  driver sam  anak  ketiduran  rencananya  minum obat  tidur  n  jam esanan    jam     jam   bingung kenak  driver butuh    batalkan nan  butuh  jam  batalkan nan sadarkah   melayani orang sakit"
"1173","very good n fast"
"1174","jelek bgt ga  solusi  k halodoc  kesalahan  i kode isoman utk basaya krn beliau ga utk  teknologi kyk gini tya sdh ganti akun tde isoman sdh dianggangus  resekter blm  kode isoman  setau   kemenkes  gratis tm   dianggangus bener jelek  ga  solusinya  halodoc  disuruh bayar"
"1175"," membantu  konsultasi   elian obat"
"1176","easy to use and interactive"
"1177"," membantu  user friendly "
"1178"," keracunan baygon  menyem kecoa dikamar l  alhamdulillah  ani nyawa  terselamatkan tks barakallah"
"1179","oke"
"1180","good rese  solution"
"1181","halodoc  berguna   yg   remote area  susah mendaan dokter  alaman yg cukum   mendaan second oon"
"1182"," bayar dokter sibuk uang  dikembalikan customer service ga   call"
"1183","cepat"
"1184"," menolong    tewaktu"
"1185","okaaaay"
"1186","hel"
"1187"," membantu disaat sakit     dokterrumah sakit"
"1188","kereen"
"1189"," konsul kasaja"
"1190","easy to use"
"1191","very useful"
"1192","good succses"
"1193","ok"
"1194","pesan kain kasa malam krn butuh urgent  arahan yg  berhenti status nan sdh diterima alamat sdh sesuai taarang  diterima driver  berusaha menghubungi harga barangnya ga seberatuh urgent   urgent   daalaman sei  "
"1195","useless"
"1196","dokter  li en sembuh      ngasih reselu dauangnya"
"1197","location of gps feature is not accurated please fix this gps feature in this app"
"1198","penjelasan dokter detail  ramah"
"1199","previosly i used this anly to buy some medicines  vitamins its getting better now with the online doctor consultation  crin very convenient"
"1200","good"
"1201","good ecence"
"1202","great aith efficient service and care from the doctors"
"1203","great"
"1204"," metode ayaran konsultasi tolong  tambahkan aasi dana"
"1205","hel a thank you"
"1206","suka bgt sm yanannya"
"1207","good job"
"1208","  singkat  konsultasi  ketikan"
"1209","best a thank you doc"
"1210","easy find information"
"1211","like the interface the fast rese of doctors and ease of use"
"1212","ceresenya keren"
"1213"," membantu  malam   sakit"
"1214"," membantu  dibutuhkan"
"1215","gud app"
"1216","delivery cepat"
"1217","hel doctor"
"1218","halodoc aasi nya bagus    ga sabar aja sm  faham kalo  dokter yg ama sibuk maaf ya halodoc"
"1219","sngt membantu ga u cangantri  dokter tengkyu halodoc"
"1220","pesan obat    via instant  obat dikirim  hitungan jam      keburu kejang ennya mending  aojol  ce uninstall"
"1221"," kom aj ga bs telll center udh teken angka   ngomongnya  ulang   aasi kaga bener  antibiotik   kasih  doang lawak bener"
"1222","terbantu dgn aasi "
"1223","layanan cepat"
"1224","good"
"1225","lengkanget dokternya samsikolog  top"
"1226","aasinya jelek h bgt  chat dokter aj ga bs udh bayar berkali"
"1227","hell easy to use"
"1228","good"
"1229","good afor health care"
"1230","good a hel"
"1231","seamless "
"1232","hel athanks"
"1233"," membantu  memesan obat  telemedicine  dokter terima kasih"
"1234","ok"
"1235","refund uang    rb  lamaa bgt  gak  elesaian  skli "
"1236","bug  bug  bug "
"1237","bagus  semngelag  namn resep"
"1238"," membantu  sakit layanan cedan dokter  standby"
"1239","i dont get it"
"1240","dokter  cetanggan esional aasi  mudah dimengerti  ce"
"1241","hell in distress"
"1242","ok"
"1243","mohon aikan  maa krn susah menentukan titik yg te kasian driver gojek nya nyari"
"1244","terbaik"
"1245","hel keeur great services "
"1246","so much helring this emic situation thank you for all doctos in charge"
"1247"," haakun diulit  manual call cs email cs hl   haakun krn  sesuaibukannya diudah  diulit"
"1248","thank you halodoc you make my life so easy to get healthy without go to hosl so hell to have this app"
"1249","the best"
"1250","easy oke"
"1251","very hel ain covid"
"1252","very bad ux for gojek user only add hassles why doesnt gojek just integrate this service into  gojek ajust like go food or other services you force me to install this app"
"1253","good res"
"1254","ok"
"1255","hell"
"1256","sangatt membantuuu"
"1257"," membantu"
"1258","good"
"1259","doctors are very nice and hel "
"1260","good"
"1261","aasi ng ribet driver susah dihubungi"
"1262","sut ngga  muter mulu  arus kaga dibales  gmn sih  ticket  trus lihatnya dimana setiali buka menu bantuan mengulan  es yg  kacau"
"1263","easy to use fast connect with the doct"
"1264","hel"
"1265"," membantu   elasan terkait kesehatan"
"1266","hel"
"1267","x n obat dr  sll nyangkut anya"
