"","klasifikasi","score","text"
"627","Netral",0,"   halodoc satunya aasi yg membantu tuk beli obat tlikasinya  user friendly  yg  butuh  org tua  bikin yg  gam digunain aja biar ngajarin org tuanya  gam thx"
"628","Netral",0,"konsultasi gam iriman rese makasih halodoc"
"629","Positif",1,"sukses  ah    membantu  beli obat  n online  diantar"
"630","Positif",1,"mudah  cepat"
"631","Netral",0,"praktis  dokternya resif"
"632","Netral",0,""
"633","Netral",0,"good acation to consulting with the doctor recommended  "
"634","Positif",1,"pennagnan ceresceantar obat tdk sm menit   dilacak"
"635","Negatif",-1,"aasi   membantu kaun  dimana dokternya   milih  beberaokter  didawaladiskon teterius menangani keluhan best"
"636","Positif",1,"layanan dokter ramah  memuaskan"
"637","Netral",0,"aya  membantu"
"638","Netral",0,"mudah simdna teraya"
"639","Positif",1,"smooth ux ui fast hel doctor thank halodoc sukses "
"640","Netral",0,"sangatembantu"
"641","Netral",0,"cedan "
"642","Netral",0,"atidak user friendly coba unggah rese sms yg  berbunyi pesanan obat   dadies maksudnya gk  bad user exence"
"643","Netral",0,"thank halodoc membantu bgt kalo malem anak sakit"
"644","Netral",0,"problem solved"
"645","Netral",0," membantu    u"
"646","Netral",0,"really hel esally in this emic od online consultation online medicine recommendations it makes us easier to find the nd oon and quick solution when we got sick"
"647","Netral",0,"good app"
"648","Netral",0," membantu"
"649","Positif",1,"td sy order  obat  layanan gomed stlh  ayaran dll nan  terkonfirmasi  driver ditemukan tdk  sy menda  driver nya berganti     dr   sy  menunggu  driver  kunjung  status iriman jg stuck  si driver  ditemukan sy berkali mencoba menghubungi driver  nomor yg tertera        jam lbh sy nunggu samakhirnya nan dibatalkan otomatis"
"650","Netral",0,"good and easy to use"
"651","Positif",1," hubungi pic nya via no telfon halodoc  ressangat  menyelesaikan   order obat  istri  tgl  seber   samhari   tgl  seber    wujudnya  hub  contact halo doc taidak  res tolong management halo doc aiki layanannya"
"652","Netral",0," "
"653","Netral",0,"nice and easy to consult with doctor"
"654","Netral",0,"solusi terceuntuk obat   terjangkau  bantu  reseri dokter fesional mantap"
"655","Negatif",-1,"singkat t   zurr  anya"
"656","Netral",0,"pesanan yg diterima  sesuai yg dipesan   utk anak komplain  ganti  sulit   live chat  telpon bilangnya ditangani tp  brp jam    obat yg sy butuhkan kecewa utk perusahaan sekelas "
"657","Netral",0,"fast"
"658","Netral",0,"w"
"659","Positif",2,"memudahkan  beli obat  konsultasi  dokterjadi gak u bawa orang sakit  rs ngantri yg    drous   disuruh ng     sarankan langsung  igd   diukan tinggal dokternya  kadang dayg bagus kadang dayang rada"
"660","Netral",0,"easy to use"
"661","Positif",2,"isian saldo  virtual acc bca  masuk ayaran langsung  virtual bca   masuk"
"662","Positif",2,"drain  ng bagus tndala nya  banget  aendiri "
"663","Netral",0,"good consulting  medications carefully"
"664","Netral",0,"mantap"
"665","Positif",1,"alhamdulillah dokternya sabar      semhilang sinyal"
"666","Netral",0," membantu    sakit      konsultasi"
"667","Positif",1,"keren instan  mudah"
"668","Positif",2,"dokter humble  tenang semoga  sukses  dokter  halodoc"
"669","Netral",0,"good"
"670","Netral",0,"fast"
"671","Negatif",-10,"ga nyaranin  jasa konsultasi dokternya mending langsung  rumah sakitnya langsung walaulebih mahal sakit asam lambung   ga sembuh ga  yg nyaranin cek darah antibody ri sm endoskosy  rs langsung  yg nyaranin cek darah hasilnya reaktif sm endoskoadik   coba konsultasi dokter  halodok ga sembuh emg beda  krn  via konsul online  murah cuman hati hati kl taruhannya kesehatan masyarakat yg mestinya ditangani bener  jd salah"
"672","Negatif",-1," beli obat   ayaran gagal  duit  nyangkut  ajukan refund  dianggarius   suruh coba link    dibuka samsaya kirim video  link    buka  didiam    k halodoc  mengecewakan    i aasi   kualitas layanan  buruk   rekomendasi"
"673","Positif",1,"bagus esional cetidak u i  offline"
"674","Netral",0,"memudah konsultasi dokter tanarus  antrii kerumah sakit"
"675","Netral",0," membantu"
"676","Netral",0,"good servise"
"677","Netral",0," membantu  elian obat  u reke ak"
"678","Netral",0,"dokternya informatif aasi nya mudah "
"679","Positif",2,"  aman aasi ininan    dibatalkan k ak    notifikasi otomatis  embalian danarefundatas terbatalkannya transaksi  ak   mengurus refund  menghubunginya  chat aasi   otomatis es refund    seminggu   kejadian x  yg samamembuat   nyaman  bertransaksi  aasi "
"680","Netral",0,"duit diambil  i   dadokternya aneh  dibatalkan dokter  nunggu refundnya"
"681","Negatif",-1,"pelayanan aasi sih  oke sayangnya deteksi ak terdekatnya yg  memuaskan beberaali i aasi  lokasi ak yg terdeteksi   "
"682","Positif",1,"bagus bgt"
"683","Netral",0,"actually save lives"
"684","Netral",0,"i dont understand why halodoc always recommend me the farthest drugs store from my house and it makes the delivery fee is more exive"
"685","Netral",0," membantu"
"686","Negatif",-4,"hmmm sbenernya so far hel bgt sih aasi  klo  butuh beli obat  diskusi dgn dokter tanarus tataka tetaayang nya k halodoc  search engine nya  basis by nama obat  by ak ya i know at least emg klo basic nya  aasi  chat  dokter oke  klo  nyari by nama obatnya tlo    cari obat tanarus chat dokter  ga hel karna sometimes  dicariin uk nya dri ak yg  bgt dri rumah"
"687","Positif",1," ramah  komunikatif"
"688","Netral",0,"mantangat membantu   keluarga"
"689","Netral",0,"resnya ce"
"690","Netral",0,"user friendly"
"691","Netral",0,""
"692","Netral",0,"good"
"693","Positif",1,"pemesanan obat  samseminggu   san  sabtu   estimasi senin  senin dicek berubah  estimasi   selasa   kamis   minggu  sdh dicek kenaengiriman   ak yg dih aasi katamya jaraknya  km konsumen   ak  yg dituju sanan   menunggu   tombol cancel   kuta haru tebus resenual  x  uang kah"
"694","Netral",0,"thanks halodoc thank you for your apps"
"695","Positif",2,"memudah en  mengatasi  kesehatan"
"696","Netral",0," nenangin   k anak knp"
"697","Positif",1,"good solusi temasalah kesehatan"
"698","Netral",0,"fast rese  dokternya  informatif"
"699","Positif",2,"bagus banget  bantu second oon selagi  gak   rs saran adain kek sesi call voice notes kasian dokter iaterolog ngetiknya ngebut   nya ang"
"700","Netral",0,"good"
"701","Netral",0,"very usefull acation"
"702","Netral",0,"really hel for urgent situation fast res"
"703","Netral",0,"good"
"704","Netral",0,"mudah konsultasi  dokter   langsung memesan obat"
"705","Netral",0,"friendly user acation"
"706","Netral",0,"perfect"
"707","Netral",0,"gabisa terhubung  asurasi manulife admin   anyaan"
"708","Netral",0,"ok"
"709","Netral",0,"the worse chatbot for cs susah banget dabantuan krn chatbot nya sangaat h"
"710","Positif",1,"memudahkn dlm memesan obat rutin knsul dokter gratis "
"711","Netral",0,"resive chat sut"
"712","Netral",0,"rekomended"
"713","Netral",0," membantu"
"714","Netral",0,"ngebantu banget urgent subuh subuh anak demam"
"715","Netral",0,"uang terbuang siasia   gak nyambung   chat malam    tulisan selamat dtg   sesi habis  catatan en  meres"
"716","Netral",0,"praktis  iriman cekee the good work"
"717","Negatif",-1," tis  kaum mager  suka rebahan tanerlu  rumah   aman  sakit ga kuat   dokter tinggal  halodoc aja"
"718","Positif",1,"pertolongan ama   diandalkan"
"719","Netral",0,"very hel"
"720","Negatif",-1,"topp gilee membantu masyarakat"
"721","Netral",0," nyoba  halodocama kalitrnyata mantai resdgn ciaya  trjangkaumudah   aasi nya"
"722","Negatif",-1,"my first time i halodoc  murder sgt ngebantu tanarus antri  klinik makasih ya"
"723","Netral",0,"imsive"
"724","Netral",0,"fast rese and user friendly"
"725","Negatif",-1,"sistem lu dibenerin  tolol  obat obatan dikasih harga  diatas het"
"726","Netral",0,"so good"
"727","Netral",0,"  menghubungkan inhealth  aasi sahaan temsaya   kerjasama   halodoc ketentuan   masuk akal rumah sakit   u kerjasama  sahaan temsaya   damelakukan klaim  inhealth"
"728","Netral",0," "
"729","Netral",0," resif"
"730","Netral",0,"cemudah  tis"
"731","Netral",0," membantu setiaat"
"732","Netral",0,"very hel"
"733","Negatif",-1,"pesen  obat kenaengirimannya dih ya  oiriman satusatu   ambil instan rb masak x biayanya  nnya barengan"
"734","Positif",1,"bagus"
"735","Netral",0,"easy to use"
"736","Negatif",-2," chat  dokter  bayar   chat dokternya ga  disuruh h dokter    udah g u bayar   musti bayar   rugi yg ama  dokternya yg gak   teterus bayar   chat  cs nya luaaaamaaaa balesnya"
"737","Netral",0,"mudah "
"738","Negatif",-1,"just realized there is some kind of bug in the awhen i tried to omy antment history there are only a sign try again but it didnt solve anything but for overall a really love halodoc because it hele a lot for laboratory antment or even have a chat with the doctors this aalso make a vaccine antment a lot more easier"
"739","Positif",1,"keren komn g  resya  chat aasi terhubung live agent dicuekin"
"740","Netral",0,"fast resand friendly"
"741","Netral",0,"instan held consultancy"
"742","Positif",1,"memudahkan   butuh doktter"
"743","Netral",0,"   membuka riwayat transaksi aangsung error  kenaa"
"744","Positif",2," membantu  mudah   dukungan dokter  handal terimakasih halodoc"
"745","Netral",0,"always freezing or forced close whenever i tried to omy history transactions"
"746","Netral",0," membantu wajib a aasi "
"747","Netral",0,"  membuka riwayat transaksi  dimana  beberaeseng   tebus"
"748","Netral",0,"good service"
"749","Positif",3," berobat   efektif  efisien terima kasih halodoc "
"750","Positif",2," membantu terima kasih"
"751","Netral",0,"riwayat transaksi   dibuka"
"752","Netral",0,"so easy to use and simso we can consult with doctor immediately"
"753","Negatif",-1,"ga bsa liat riwayat transaksi"
"754","Netral",0,"it would be nicer if theres a sick letter for us as a evidence that were not feeling well thanks"
"755","Negatif",-2," gimana beli obat  halo doc tabat ga ah sam kontak via chat  email ga  solusinya scam"
"756","Netral",0,"good"
"757","Netral",0," membantu  butuh cetaa  ngga butuh researena ud resendiri yg  dgn dokter halodoc   tolak"
"758","Netral",0,"makes life easier"
"759","Netral",0,"fast and easy"
"760","Netral",0,"really usefull in emergency"
"761","Netral",0,"sehabis ue disetialaman  gangguanerror butuh koneksi ynag  stabil ketimbang  main online gamevideo call"
"762","Netral",0," membantu"
"763","Positif",1,"terbaik   dokter  cesmobatnya"
"764","Netral",0,"cukumbantu"
"765","Netral",0," membantu dikala gemting"
"766","Netral",0,"as a mom with many children who has to stay at home this as hel masyaallah"
"767","Netral",0,"  "
"768","Netral",0,"suhel love it"
"769","Netral",0," ue  versi terbaru       riwayat pesanan  muncul   salah   coba restart hhkan"
"770","Positif",4,"gileeee mudah bgt cuyyyy smbil kerja smbil rebahan smbil konsul smbil ngakak  klau tykwkwk  trima kasih halodoc  dokter  kmudahan yg dbuat  jman now  smoga uatnya  tenaga medis trmsk dokter dimanamreka brada ancar hidu sukses rezekinya  hidu tenang dll"
"771","Netral",0,"good"
"772","Negatif",-1,"aplikasi payah ga  login g  sms verifikasi gimana  pakai layanannya"
"773","Netral",0,"celayanannya"
"774","Netral",0," membantu  yanan medis from home praktis terhubung  asuransi"
"775","Netral",0,"good as simas klikklik obat sam"
"776","Netral",0,"good"
"777","Positif",1,"dokter  halodoc ramah  reseng  sesuai  keluhan en ditambah service  jam sei  rumah sakit  membantu  u konsultasi sewaktuwaktu"
"778","Positif",2,"aasi yg tis unt mendasaran kesehatan sesuai kebutuhan"
"779","Netral",0," membantu"
"780","Netral",0,"bantu  daruratdan komunikatif"
"781","Netral",0,"good jejaring ak nya  diuas "
"782","Netral",0,"good"
"783","Netral",0," membantu  dokternya  beralaman terimakasih halodoc"
"784","Netral",0," aasi  halodoc  bs cek status  iriman  dr  yg ditaman  a   menunggu obat   jam t airaan    menit status iriman   berubah on  bot   membantu   contact call center"
"785","Negatif",-2," diue  ngaco history konsultasinya konsultasi        kacau ue nya susah  chat sm dokter minggu   ilang  riwayat ngeselin"
"786","Positif",2,"bintang   klo manjur auto "
"787","Positif",1,"mudah  cepat"
"788","Positif",2," a alaman bingung en bawa anak berobat   minggu dokter anak  tutuaalodoc ngebantu banget  konsultasi   libur terima kasih halodoc"
"789","Netral",0,"nice acation"
"790","Netral",0," membantu keluarga "
"791","Positif",1,"kurir gojek  ramah"
"792","Netral",0," membantu"
"793","Netral",0,"good aation and reliable so far"
"794","Positif",1,"first time coba  dokternya bagus"
"795","Netral",0,"cukumbantu"
"796","Positif",1,"membantu banget  era emi ngga u  rs  konsultasi"
"797","Netral",0,"berobat  mudah  terhubung  asuransi"
"798","Netral",0,"mantull"
"799","Netral",0,"good"
"800","Netral",0,"error  gak  login  ue tetek "
"801","Netral",0,"excellent"
"802","Positif",1,"res cepat"
"803","Netral",0,"  berguna sy sdh coba  kali bad exence"
"804","Netral",0," membantu "
"805","Positif",1,"dokter nya ramah  mudah komunikasi"
"806","Netral",0,"aasi membantu  diagnosa    semke dokter"
"807","Negatif",-1,"seinya kolom lengkaetail nya    enter  isi info"
"808","Netral",0,"good"
"809","Netral",0,"nice"
"810","Netral",0,"pelayanan  "
"811","Netral",0,"beli obat  dikirim dibatalkanrefund   paraahh"
"812","Netral",0," membantu"
"813","Negatif",-1,"perbaiki layanan elian obat stok nggak ue   ak aslinya  elian  gagal kalo u  dikasih list ak  aja  ngejual obatnya   milih  dikirim   "
"814","Netral",0,"aasinya  membantu    jam yg    konsul  jam   an  dokternya hell utk membantu "
"815","Netral",0,"cetidak i antri"
"816","Netral",0,"good"
"817","Netral",0,"very useful we can consult to a doctor with our erences without leaving home esally in this emi era"
"818","Netral",0,"very nice"
"819","Netral",0," terbantu   membeli obat    i  terimakasih "
"820","Negatif",-5,"mengaaya   memilih ak  membeli obat  beli  obat berbeda   obat satunya kosong  akibatnya  ganti  merk yg  akernya bilang   edaan sfik dimana         edaan dosis dsb  klaim  aker harganya     cek harganya berbeda walautidak  berbeda  case     customer  yg mendaan harga berbeda"
"821","Positif",1,"kesekian kalinya order obat  halodoc  dalokasi ak   banget  alamat iriman kasian drivernya"
"822","Netral",0,"mudah    omenunya"
"823","Positif",1," bermanfaat  konsultasi dokter jam mudah  praktis dg dokter yg kredible"
"824","Netral",0," membantu"
"825","Netral",0,"dokter  membantu  yanan obatan"
"826","Netral",0,"aasi  ngelag taerbantu  cs  mengembalikan saldo gopay"
"827","Netral",0,"usefully"
"828","Netral",0,"good"
"829","Netral",0,"very user friendly and suoer fast service"
"830","Netral",0,"bnyk bug sialan contoh alokdokter  lbh efisien konsul  kelar  abis harusny sesuai kebutuhan menyebalkan  better alokdokter "
"831","Netral",0,"good app"
"832","Negatif",-1,"resaasi cedan  membantu   darurat"
"833","Positif",2,"udh bayar biaya  udah keng taokter  sibuk uang  "
"834","Netral",0,"tot"
"835","Netral",0," membantu disaat emergency"
"836","Netral",0,"mantap"
"837","Positif",1,"dokter  ramah"
"838","Negatif",-1," menyusahkan"
"839","Netral",0,"excellent and hell thanks halodoc"
"840","Netral",0,"i bought medicine from halodoc that need crin the medicine came has already exd and i cant buy another one because the crin can only be used once the helk said they would be reach me in  hours but they havent reached me until now if my illness is chronic i would have died from either my illness or the exd medicine slow customer sut "
"841","Positif",1,"aasi jelek asuransi  gak sesuai s dis bilang  tunggu   taenyataan   claim    emang as diviralkan"
"842","Netral",0,"great aedbd"
"843","Netral",0,"mantap"
"844","Positif",3,"konsultasi dgn dokter herman bagus  solusinya ok banget terima kasih ya dok"
"845","Netral",0,"a hel hand just a click away"
"846","Netral",0,"as an athis is a good athat is easy to use with come facilities for health ose my only comnt is the menu to get to customer service when something went wrong is not intuitive and not easy to use you are most of the time redirected to faq"
"847","Netral",0,"fast rese great"
"848","Netral",0,"good"
"849","Netral",0,"iklan  youtube editor nya  prindavan"
"850","Negatif",-1,"layanan lab home servis nya ok ce  hisa lamhaung konsultasi online ga re "
"851","Netral",0,"jangkauan ak  eli jaraknya        kilometer su driver instant nya  batalin orderan "
"852","Netral",0,"exellence"
"853","Positif",1,"sungguh membantu   berobat  manadan ka thank you"
"854","Netral",0,"realy hell"
"855","Netral",0,"easy to use esional medical assistance"
"856","Netral",0,"ok"
"857","Netral",0,"data   berubah semu kinian data eror"
"858","Netral",0,"the best help"
"859","Positif",1,"trima kasih berkah dalem"
"860","Netral",0,"useful and user friendly ui"
"861","Netral",0,"very resive ans hel"
"862","Netral",0,"awesome"
"863","Netral",0,"okay"
"864","Positif",2," membantu    sakit  tdk  i kedokter offline resdokter  bagus"
"865","Netral",0,"kerenn"
"866","Netral",0,"very hel"
"867","Netral",0,"ah    ti driver yg  mengantarkan obat"
"868","Netral",0,"pelayanan dokternya sgt "
"869","Positif",1,"aasi yg simdan bermanfaat "
"870","Positif",1,"sistem buruk   gunaan layanan  status diubah  selesai refund diklaim  tgl    bukti  diajukan  es refund maksimal     tgl    es refund  diterima"
"871","Netral",0," membantu"
"872","Netral",0," terbantu dg  halodoc ngk u i ngk u ngantri  ngk a cash  membantu"
"873","Positif",1,"aasi   membantu banget"
"874","Positif",1,"tolong tambahkan fitur  chat langsung  drivernya"
"875","Netral",0,"keegood work and ude for more best exence"
"876","Netral",0,"hel"
"877","Netral",0,"niceeee"
"878","Negatif",-1," lancar transaksi makinkesini  error  transaksi cek harga resea   gagal    transaksi obat gak dikirim  cancel  dana gopay ga langsung baliksuruh nunggu x jam  kalo emergency butuh obatnya  isoman gimana nunggu kolaulu yg sakit"
"879","Netral",0,"aasi  lelet"
"880","Negatif",-1,"lelet disaat urgent  ga  dii"
"881","Positif",1,"cs slow rese  banget nunggunya"
"882","Netral",0," membantu"
"883","Positif",1,"mantaaya  konsul teledokter dilayani    seksama reseluar    langsung tebus obat  ak online han   obat  daan  runtutan   jam  konsul dokter    halodoc bantu orang  tanarus visit langsung utk kurangi resiko agi   banhak resiko covid sukses ya"
"884","Negatif",-2,"membantu  ala    orang   rumah"
"885","Netral",0," link nya  asuransi   mudah  halodoc"
"886","Positif",2,"komunikatif yan bagus  sesuai hara"
"887","Netral",0," membantu"
"888","Netral",0,"konsuktasi dg olog klinis "
"889","Positif",2,"  kena covid amakit infeksi  kebantu banget ama ani konsul dokter jam   jg   obat  dlm  menit terima kasih "
"890","Positif",1,"bagus"
"891","Netral",0,"simple"
"892","Netral",0,"really hel"
"893","Netral",0," dg saran  diagnosa nya"
"894","Netral",0,""
"895","Positif",8,"kemudahan  fleksibilitas memilih tenaga kerja kesehatan sesuai       ditambah    menghubungkan asuransi adi mauanggota keluarga  biaya obatan  obat  langsung ditanggu asuransi"
"896","Negatif",-1,"praktismemudahkan orang  sakit tanerlu   antri"
"897","Positif",2," membantu terima kasih"
"898","Netral",0,"hel esally for covid ent"
"899","Netral",0,"good"
"900","Netral",0,"badabest mannn"
"901","Positif",2,"terima kasih halodoc sy  konsultasi dokter  dbat tanrs antri  klinik"
"902","Netral",0,"hel many things of getting better solution by doctor immediate action"
"903","Netral",0," ah  aasi     kehabisa uang  coba  konsultasi dokter mata  bayar   bayat   konsultasi keterangan  aasinya eror"
"904","Netral",0,"aasi   membantu"
"905","Netral",0," membantu"
"906","Netral",0,"great apps"
"907","Netral",0,"perfect"
"908","Netral",0,"yess kerennn cedan tanggamksh dok"
"909","Netral",0," membantu"
"910","Netral",0,"puas  konsultasi dokter detail  dokternya "
"911","Positif",3,"variasi lengkarga terjangkau   i halodoc terima kasih"
"912","Positif",2,"sungguh ngebantu banget  calon  sei "
"913","Positif",1,"mudah ringan d menyenangkan "
"914","Positif",2," bermanfaat dokternya  resif  ramah"
"915","Netral",0,"cetanggap"
"916","Netral",0," berguna disaat urgent  malam"
"917","Netral",0,"nice"
"918","Netral",0,"terrible  n obat gak  aunanya  telemedicine"
"919","Positif",1,"memudahkan      klinik ato rs thx halodoc"
"920","Netral",0,"aasi   membantu  layanan dokter jarak jauhnya  terintegrasi langsung  ak"
"921","Positif",1," mudah   mudah memilih dokter  dibantu  mengirimkan obat  ak terdekat"
"922","Positif",2,"keren cemantan akurat  membantu  terimakasih  buqt tim halodoc  hebat"
"923","Netral",0,"awesome acation and user friendly kee up"
"924","Netral",0,"good job"
"925","Netral",0,"my first contac with halodoc sure i can"
"926","Netral",0,"easy to use and verry hell"
"927","Netral",0," membantu  dokter offline tutup"
"928","Netral",0,"clear exation"
"929","Positif",2,"aa bagus  memudahkan chat dokter  tebus obat  terintegrasi"
"930","Netral",0," membantu "
"931","Netral",0,"obatnya dianter  rumah  salah and yeah  banget diesnya"
"932","Netral",0," membantu tis hemat "
"933","Netral",0," membantu disaat emi sei "
"934","Netral",0,"yanan cesimdokternya friendly"
"935","Positif",3," membantu  efisien  cesolusinya terima kasih"
"936","Netral",0,"easy to use"
"937","Netral",0,"gbs login no otp udh bener failed mulu"
"938","Netral",0,"cant refund my transaction got cancelled and when i inrefund form its always failed edited  they reached out to me and sending my money back"
"939","Netral",0," membantu"
"940","Netral",0,"very very hel"
"941","Netral",0,"manthul"
"942","Netral",0,"ok"
"943","Positif",2," membantu  terima kasih halo doc"
"944","Positif",1," aasi  membantu banget"
"945","Netral",0,"keren  konsul  rumah"
"946","Netral",0,"easy to use and clear"
"947","Netral",0,"sangaaat menganggu dikala ing"
"948","Netral",0,"cetedan sehatthx halodoc"
"949","Netral",0," membantu"
"950","Netral",0,"ok terbantu"
"951","Netral",0,""
"952","Netral",0,"dokternya kootif   membantu  ga u bolak  nanya   buang uang "
"953","Negatif",-2,"terjawab  keluhan  semoga cesembuh "
"954","Netral",0,"praktis"
"955","Netral",0,"nice apps"
"956","Netral",0,"beruntung  halodoc "
"957","Netral",0,"cememberi   cukulas"
"958","Netral",0,"very hel a thx "
"959","Netral",0,"ceresnya"
"960","Netral",0,"dokternya ramah   nunggu koneksi internet  terganggu"
"961","Netral",0,"good apps"
"962","Negatif",-2,"wow  br ama kali beli obat d  ga nyangka simmudah ce   tau aasinya cm ga ah coba muter cr ak ga nemu  aasi  lgs ketemu iriman instan cm rb rese   bs d buatin reseline  halodoc bintang "
"963","Netral",0,"ok"
"964","Negatif",-1,"its getting worse lately  ngga smooth   ent gateway nya masukin ota  udah gagal   resegital sdh dr dokter  nan ttbilang u resep"
"965","Netral",0,"good acation"
"966","Netral",0,"aasi yg  membantu "
"967","Positif",1,"ok banget   menolong"
"968","Positif",1,"bagus"
"969","Positif",1,"bagus  cukumbantu bgt"
"970","Netral",0,"nice"
"971","Netral",0,"aknya kadang  bangettt   ak terdekat kasian abang gojeknya "
"972","Negatif",-1,"fasilitas  situs    ganti il  anak  ngan  i aasi"
"973","Negatif",-1,"  aasi   konsultasi covid isolasi mandiri good job"
"974","Netral",0,"great service for online health service"
"975","Netral",0,"kalo  harganya jgn mahal "
"976","Netral",0,"pengiriman obat ce "
"977","Netral",0,"so imsive i have dry cough and within less than  minutes i got the cough syruat i need the aayment system is also so smooth and not comated the ess is so easy and not convoluted like any other similar awell done "
"978","Netral",0,"akurat cedan mudaj"
"979","Negatif",-2," bedrest dirumah orgtua laman bekasi ak terdekat ga lengkana ga bs  nek motor krn  oangat membantu  halodoc  menit sam trmksh yah"
"980","Positif",1,"thanks halodocsemakin   bagus aasi yg  journey berobat  hahamenambah imun"
"981","Netral",0,"cool"
"982","Negatif",-2,"aasi jelek sistem order aneh  kali  konsultasi  dokter   cekout order obat sdh terkonfirmasi ayaran dll tinggal tggu obat  lamaa      cek status order  berubah  dibatalkan  siag membatalkan  kena   konfirmasi   elasan  order ulang sanan obat nya  biaya jd  dicover asuransi pdahal yg error dr sistem hallodoc sdh chat dgn cs  bs membantu aneh"
"983","Netral",0,"okay banged"
"984","Netral",0,"solusi  konsultasi telemedicine  dokter  biaya  terjangkau   u  rumah resegital  dokter ok bgt   download     claim obat  ak kekurangannya  harga obat    lihan aknya cukuuh  lokasi san"
"985","Netral",0,"very good a nice and hel doctors"
"986","Netral",0,"menolong  yg  males  beli obat    sakit t"
"987","Netral",0,"mudah   membantu"
"988","Netral",0,"rese  didownload fasilitas cek harga ga   akes rese  es"
"989","Positif",3," buruk  janji temu dokter taokternya tek  er  cancel  temu dokter  sdh  cancel lwt email cs whatsaan via live chat cs taetalo doc bikin janji temu  dokter    refund gak  kejelasan samskrng  yg  download aasi  hati  refund     sdh delete aasinya gak auang hilang"
"990","Netral",0,"good"
"991","Netral",0,"good aermanfaat "
"992","Netral",0," membantu "
"993","Positif",2,"hallo doc membantu  cnggadokternya bagus  cocok obat cesamerumahga u reke rs lg kecuali  emergency"
"994","Netral",0,"mudah simdan "
"995","Netral",0,"sngt membantu"
"996","Netral",0,"mantagkap"
"997","Netral",0,"so hell"
"998","Negatif",-1," sy konsul  art sy yg  nama sy yg ditulis jd en sy  sdh bilang sy  covid parah apknya"
"999","Netral",0,"good"
"1000","Netral",0,"cool"
"1001","Netral",0,"good"
"1002","Netral",0,"ok sgt membantu"
"1003","Netral",0,"recomended"
"1004","Positif",1," membantu lengkangan rekomendasi obat catatan dokter   list harga obat  mudah  difollow u faskes  ak terdekat"
"1005","Negatif",-1," berguna ayaran tis   ribet"
"1006","Positif",1,"kasaja dimana  konsul kesehatan  mudah murah  menyenangkan"
"1007","Positif",3," menunggu  pesanan obat dibatalkan  u banget  merekomendasikan aini work flownya  bagus"
"1008","Netral",0,"hallo doc makes me need hallo helsk any cc and va were failed"
"1009","Positif",1,"obatnya sesuai resekter diterima diak kosong obat gak kekirim   tetea beli obat   "
"1010","Positif",1,"maaf  kasi skor buruk taalodoc   diandalkan dikasi resema dokter n obatnya tabat     tanotifikasi an biaya layanan k   mahal edit   n obat   sakit a indra  berkurang   sehat sanan obat lancar"
"1011","Positif",2,"sembermasalah  sanan obat ama kali  halodoc tai kaian   on time  sesuai nan  recommended terima kasih "
"1012","Netral",0,"salah  aasi kesehatan yg ok"
"1013","Netral",0," membantu"
"1014","Netral",0,"chat dgn dokter oke  deseaang    beli obat online"
"1015","Netral",0," membantu"
"1016","Netral",0," membantu"
"1017","Netral",0,"this as getting worse i cant buy anything in this aow because it keeclining my ent  fix it"
"1018","Netral",0,"thanks for everything "
"1019","Positif",1,"aasi yanan medis terbaik  mudah   terintegrasi  layanan "
"1020","Netral",0,"harga kirim  mahal   harga kirimnya   sei gofoodgrabfood    "
"1021","Netral",0,"resya cedan elasan  dimengerti"
"1022","Netral",0,"ceresya dokter nya  sabar   anyaanterima kasih ya"
"1023","Positif",1,"serasa a dokter adi deh tenang tinggal chat aja obat dikirim "
"1024","Netral",0,"resif"
"1025","Positif",1," bug   mengubah data pembayaran   transaksi  berulang  es  efisien  menghubungi cs taroses refund cukurbelit     tis  aasi error"
"1026","Netral",0,"   membantu thank you halodoc"
"1027","Netral",0," membantu konsultasi  emi  menghemat  dibandingkan konsultasi offline   hemat "
"1028","Netral",0,"proses   konsul dgn dokternya  nggak kayak alodokter refund saldo nya   kerja  shoaja kalo batal langsung dibalikin   "
"1029","Positif",4," membantutantuk biaya iriman obat hannya  instan  mahal tolong  study  terkait iriman obat    oambil ditemjadi   biaya tambahan  lumayan mahal biaya irimannya"
"1030","Netral",0,"good"
"1031","Netral",0,"hel banget kalo urgenttailihan ak nya ga  jauhnya samerkilo meter   nunggunya"
"1032","Netral",0,"oke"
"1033","Positif",1,"terbaik great auser friendly"
"1034","Negatif",-2,"pesan obat aaya a ts dr halodoc lambat gila aja  ya kasi ngga sesuai nan dosisnya"
"1035","Negatif",-2," belanja obat top  konsul dokter traumatis  udah jelasin gejala  dr  samkrg  larannya  suami n anak tb maaf     org  lhaa  cm cerita kronologi trus tb  keluhan utamanya a  jelasin jang   kayak sia bgt tb reseluar ga  elasan trus  chat ditutun dikasih jemke  males uninstal"
"1036","Netral",0,"very good"
"1037","Netral",0,"good"
"1038","Netral",0,"lu kalo ng jadwal  jenis vaksin yg bener donk vaksin kaga  lu tulis   "
"1039","Netral",0,"membantu "
"1040","Netral",0," membantu  disaat emi sei  terimakasih halodoc"
"1041","Negatif",-3," ga kalo mesen obat drivernya tuh gausah    gaada ak yg deket  siang siang aja  yg buka  daerah rumah  ara resegital aja jd hrs mesen dr halodoc"
"1042","Positif",1,"solusi cepat"
